source,created_time,text,url,likes,shares,comments
Cronica,2016-05-29T18:15:00+0000,"Quiere esperma de su ména muerto | Crónica Una mujer española quiere quedarse embarazada de su marido fallecido. Ella pidió a Francia que autorizara el envío del esperma congelado a España. Claro, el semen está allí, donde su marido lo congeló poco antes de someterse a un tratamiento que amenazó con dejarlo estéril.",www.facebook.com/221252151293397_1041740849244519,742,13,36
Cronica,2016-05-29T18:00:00+0000,"Menor baleado en el ojo en karaoke | Crónica Con una puntería impresionante por parte de su agresor, un menor de 14 años de iniciales S. W. B. R., recibió un tiro en el ojo en el interior del local “Trutas Bar Karaoke” ubicado entre las calles 1º de Mayo y Arturo Garcete, del barrio Obrero de Ciudad del Este. El confuso episodio se dio cerca de las 4 de la madrugada de ayer.",www.facebook.com/221252151293397_1041739625911308,308,21,30
Cronica,2016-05-29T17:40:00+0000,"Recibió 29 balazos frente a su familia | Crónica Murió delante de su concubina y sus dos hijitos. La vida de Diego Sanabria Reyes (25) se terminó en la medianoche de ayer, cuando tres tipos encapuchados ingresaron al hospedaje donde descansaba con su familia y sin pestañear le enzoquetaron ¡29 balazos!",www.facebook.com/221252151293397_1041739065911364,895,39,45
Cronica,2016-05-29T17:30:00+0000,"Camioneros llegan a un acuerdo y levantan paro | Crónica Los camioneros al fin levantaron el paro que hace días iniciaron. Llegaron a un acuerdo con las agroexportadoras y se destraba de esta manera la medida de fuerza. Las agroexportadoras pagarán más por el flete, que era la piedra del escándalo con los trabajadores.",www.facebook.com/221252151293397_1041738132578124,203,7,4
Cronica,2016-05-29T17:20:00+0000,"SNPP brindará curso de Informador Turístico | Crónica El Servicio Nacional de Promoción Profesional (SNPP) informó que, mediante su Programa de Formación y Capacitación de Hospitalidad, habilitará un curso de Informador Turístico a dictarse desde el próximo 6 de junio en la sede central de la institución, dependiente del Ministerio de Trabajo, Empleo y Seguridad Social (MTESS).",www.facebook.com/221252151293397_1041722919246312,261,24,1
Cronica,2016-05-29T17:10:00+0000,"""Tiburón"" Torres: ""Durante 5 meses nos preparamos esperando que nos contrate un club” | Crónica Roberto Torres, el técnico revelación del fútbol paraguayo, nos cuenta lo que hizo después de dejar Cerro Porteño. Formó su cuerpo técnico y se pusieron a trabajar, siguiendo los pasos de equipos, jugadores, analizando todo, detalle por detalle. Así llegaron a Libertad, club con el que ahora levanta otra copa.",www.facebook.com/221252151293397_1041717592580178,1389,16,36
Cronica,2016-05-29T17:00:00+0000,"Amor en las buenas y en las malas | Crónica “Siempre fuiste una persona valiente y de seguro que este mal momento no te detendrá. No te desanimes, que no hay mal que dure 100 años”, es una frase de las tantas que puede ayudar a tu pareja a superar un mal rato. Al menos sabrá que puede contar contigo, si bien no le solucionarás el problema.",www.facebook.com/221252151293397_1041716952580242,441,26,3
Cronica,2016-05-29T16:50:00+0000,"Le darán premiazo a Atyrá | Crónica Por el modelo de gestión sustentable, Atyrá será reconocida en la XXII edición de la Conferencia Interamericana de Alcaldes y Autoridades Locales que se realizará en Miami del 13 al 16 de junio.",www.facebook.com/221252151293397_1041713442580593,1342,110,6
Cronica,2016-05-29T16:40:00+0000,"Subió morosidad en los bancos ndaje | Crónica En abril, la morosidad en bancos registró un aumento respecto al mes de marzo, donde había bajado el índice. De 2,79 % subió a 2,83 %, según datos de boletín de la Superintendencia de Bancos (SIB) del Banco Central del Paraguay (BCP).",www.facebook.com/221252151293397_1041711815914089,157,4,1
Cronica,2016-05-29T16:30:00+0000,"Miles de asegurados domésticos dejaron IPS | Crónica El Instituto de Previsión Social (IPS) registró una disminución bastante importante de asegurados domésticos, que por algún motivo decidieron salir.",www.facebook.com/221252151293397_1041710622580875,375,15,41
Cronica,2016-05-29T16:20:00+0000,"Compitieron quién bajaba más de peso y casi terminaron como esqueletos | Crónica Courtney Grimshaw tenía 12 años cuando comenzó a comer cada vez menos, mientras que su hermana Rebecca tenía 14 años y se veía espléndida. La menor admiraba mucho la popularidad de su hermana mayor en el colegio y al querer tener el mismo cuerpo que ella, comenzó a hacer una rigurosa dieta.",www.facebook.com/221252151293397_1041709232581014,438,11,16
Cronica,2016-05-29T16:10:00+0000,"Basta de violencia contra niños | Crónica Ayer se debió realizar una marcha contra violencia sexual hacia niños y niñas, desde la Plaza Uruguaya hasta el Panteón de los Héroes, la cual no fue posible por el tiempo vai.",www.facebook.com/221252151293397_1041708332581104,242,2,3
Cronica,2016-05-29T16:00:00+0000,"Alaban iniciativa de Horacio Cartes | Crónica Luis Almagro, secretario general de Organización de Estados Americanos (OEA), expresó su apoyo al presidente de la República, Horacio Cartes, por solicitar una reunión de cancilleres del Mercosur para tratar la situación de Venezuela.",www.facebook.com/221252151293397_1041707255914545,222,7,30
Cronica,2016-05-29T15:50:00+0000,"Dani Güiza, exdelantero de Cerro se casa | Crónica El exdelantero de Cerro Porteño, Dani Güiza, que llegó a jugar dos temporadas en Barrio Obrero en lo profesional no le va todo lo bien que quisiera, pero en lo personal las cosas le van algo mejor. El pelotero que chuta ahora para el Cádiz CF contraerá matrimonio el próximo mes de julio con Rocío Herrera, su novia desde hace siete años.",www.facebook.com/221252151293397_1041706129247991,1399,17,41
Cronica,2016-05-29T15:40:00+0000,"Amenazaron a Barreto y fueron condenados | Crónica Dos personas fueron condenadas por incitar a la violencia a través de tuiter, donde el principal blanco fue el arquero del Club Olimpia, Diego Barreto.",www.facebook.com/221252151293397_1041703269248277,1645,59,43
Cronica,2016-05-29T15:30:00+0000,"Paraguaya saludó al papa Francisco | Crónica La guitarrista clásica Daiana Ferreira, en el marco de una audiencia papal en el Vaticano, saludó personalmente y obsequió el pasado miércoles al papa Francisco, el libro “El inalcanzable” sobre el gran artista paraguayo Agustín Pío Barrios “Mangoré” y otro sobre “la venerable ‘Chiquitunga’” (religiosa paraguaya en proceso de beatificación). En dicha audiencia, tuvo el honor de abrazar y recibir la bendición del Sumo Pontífice.",www.facebook.com/221252151293397_1041699292582008,1938,65,16
Cronica,2016-05-29T15:20:00+0000,"“La única mujer que sabe de fútbol es Electra”, tiró | Crónica El locutor radial leyó la nota de ayer en Crónica y se mostró muy duro con que las mujeres puedan comentar la Copa América.",www.facebook.com/221252151293397_1041698802582057,570,13,155
Cronica,2016-05-29T15:10:00+0000,"Me sigue buscando, pero ya no confío más en ella | Crónica Es que es difícil encontrar una buena mujer que te ame, te respete y te valore, hoy en día eso es prácticamente un milagro encontrar. Ya tuve varias novias, pero ninguna me trató así como esta señora a su pareja.",www.facebook.com/221252151293397_1041692699249334,250,12,14
Cronica,2016-05-29T15:00:00+0000,"“Inolvidable visita al Cerro León” | Crónica Mientras los ministros de Educación, Enrique Riera y el de Hacienda, Santiago Peña, se reunían ayer sábado con representantes estudiantiles para encaminar la sitú de emergencia educativa, muy distendidos se mostraron por las redes sociales el presidente del Congreso Nacional, Mario Abdo Benítez, recorriendo el Cerro León con su amigo de turno el senador Fernando Lugo.",www.facebook.com/221252151293397_1041691632582774,883,57,77
Cronica,2016-05-29T14:50:00+0000,Pidió a su papá que liquide a su ex yiyi | Crónica El autor abandonó la cacerola hace solo 2 meses tras 12 años de pena por homicidio doloso.,www.facebook.com/221252151293397_1041685669250037,550,23,31
Cronica,2016-05-29T14:40:00+0000,¡Lloraron de alegría! | Crónica Estudiantes universitarios les visitaron y los ancianitos se emocionaron hasta las lágrimas.,www.facebook.com/221252151293397_1041683739250230,420,18,4
Cronica,2016-05-29T14:30:00+0000,"Albirró ligó unomi ante mexicanos | Crónica El equipo de Ramón Díaz generó algunas buenas jugadas, pero falta ajustar algunos detalles antes de entrar en competencia oficial. Faltaron el gol y mejorar michîmi la defensa.",www.facebook.com/221252151293397_1041679642583973,363,4,9
Cronica,2016-05-29T14:20:00+0000,"Timeline Photos Portada de la sección ""Secretos de mujer""",www.facebook.com/221252151293397_1041674395917831,63,5,0
Cronica,2016-05-29T14:15:00+0000,"Estudiantes vichearán los edificios escolares | Crónica “Gracias a los líderes por su participación. Dimos el primer paso. La Mesa de Trabajo Estudiantil (MTE) instalada”, señaló el titular de la cartera de Educación, Enrique Riera, quien en la tarde de ayer, junto al ministro de Hacienda, Santiago Peña, se reunieron con unos 30 líderes estudiantiles para debatir acerca de la situación actual de la educación paraguaya.",www.facebook.com/221252151293397_1041675842584353,106,2,3
Cronica,2016-05-29T14:05:00+0000,"Timeline Photos Hoy, el ""Tiburón"" es la estrella de nuestro suplemento semanal ""Q'tal"".",www.facebook.com/221252151293397_1041673292584608,248,2,13
Cronica,2016-05-29T14:00:00+0000,"Colegiantes son blanco fácil de los motochorros | Crónica Con tan solo 15 años cada uno, cuatro estudiantes vivieron muy de cerca la inseguridad. Hace unos días, en el barrio Caacupemí, de Capiatá, a la salida del colegio “Inmaculada Concepción de María”, unos delincuentes les apuntó a la cabeza con un arma de fuego para robarles el celular a plena luz del día, y les hizo pasar uno de los peores momentos de sus cortas vidas.",www.facebook.com/221252151293397_1041657862586151,167,8,4
Cronica,2016-05-29T13:45:00+0000,"Ramón Díaz: “Esta fue una linda prueba” | Crónica Para el técnico de la selección nacional, Ramón Díaz, “lo mejor hubiera sido el empate”, pues consideró que su equipo hizo también un buen gasto en el partido. “Esta fue una linda prueba para nosotros, cuando tengamos el plantel completo vamos a ser competitivos” destacó, a sabiendas de las ausencias aún de tres peloteros del Lanús que hoy chutan la final en el torneo argentino, como Gustavo Gómez, Víctor Ayala y Miguel Almirón.",www.facebook.com/221252151293397_1041657435919527,396,5,64
Cronica,2016-05-29T13:42:24+0000,Timeline Photos Mala pata.,www.facebook.com/221252151293397_1041671669251437,389,36,4
Cronica,2016-05-29T13:34:19+0000,Timeline Photos Mike Tyson.,www.facebook.com/221252151293397_1041668005918470,113,6,0
Cronica,2016-05-29T13:30:00+0000,"Lorito óga son los que “respetan a su doña” | Crónica Los arrieros que fueron encuestados por Crónica dijeron que son víctimas de las burlas de sus amigos, debido a que se quedan mucho en la casa y ayudan a sus esposas. Pero, para ellos ser un lorito óga es “respetar a la doña de la casa”, además de ser comprensivos también cuando se trata de los quehaceres. Aseguran que los tiempos cambiaron y que las mujeres muchas veces mandan más incluso.",www.facebook.com/221252151293397_1041657059252898,2843,388,163
Cronica,2016-05-29T13:18:00+0000,"Gastronómicos darán descuentos con tarjeta | Crónica Un total de 86 locales gastronómicos darán descuentos a los usuarios que compren con la tarjeta “Soy Formal”, el viernes 3 de junio por el día del empleo digno. Buscan de esta forma impulsar la formalización en el empleo. El plástico se puede retirar de la Oficina Nacional del Empleo del Ministerio del Trabajo, cito en Eusebio Ayala 3195 casi Charles de Gaulle.",www.facebook.com/221252151293397_1041656449252959,117,6,0
Cronica,2016-05-29T13:15:00+0000,"Timeline Photos En la ciudad de Arrentela, Portugal, un 29 de mayo de 1987 nació el que ahora se convirtió en ídolo azulgrana, y el mejor refuerzo de lo que va del año, Luis Leal dos Anjos. El delantero nacionalizado en Santo Tomé y Príncipe se ganó el cariño de la gente rápidamente. ¡FELICIDADES!",www.facebook.com/221252151293397_1041654455919825,1552,59,65
Cronica,2016-05-29T13:00:00+0000,"Expelotero diagnosticado con cáncer de médula ósea | Crónica Una noticia pegó muy duro en el mundo del fútbol en los últimos días, pues con tan solo 38 años pirulos, el expelotero Édgar Robles recibió recientemente la penosa noticia de que sufre un mieloma múltiple, una especie de cáncer que afecta a los huesos y su tratamiento es bastante complejo.",www.facebook.com/221252151293397_1041645945920676,1596,72,68
Cronica,2016-05-29T12:40:50+0000,"Emotivo adiós al doctor “ángel de los trasplantes” | Crónica Un homenaje que puso la piel de gallina a todos los presentes, le dieron los médicos del equipo de ablación de Instituto de Previsión Social (IPS) a su colega fallecido, el doctor Juan Gabriel Berdejo, quien tras sufrir un grave accidente el pasado domingo sobre la Transchaco, pasó a ser donante de órganos y siguió salvando vidas hasta después de su muerte.",www.facebook.com/221252151293397_1041645409254063,5966,554,85
Cronica,2016-05-29T12:35:35+0000,"Timeline Photos La contratapa de hoy, y el resultado de la Albirroja.",www.facebook.com/221252151293397_1041641389254465,520,6,30
Cronica,2016-05-29T12:28:08+0000,"Timeline Photos ¡Muy buenos días! Con esta tapa, les saludamos en este hermoso domingo. ¡Buena jornada para todos!",www.facebook.com/221252151293397_1041637435921527,1039,22,20
Cronica,2016-05-28T22:35:00+0000,"Empresario canadiense quiere invertir en industria azucarera | Crónica El empresario canadiense John Holliday, presidente de Rogers Sugar Inc., una importante empresa canadiense dedicada a la producción de azúcar, mostró su interés en invertir en el país en este rubro. El empresario se reunió con el viceministro de Relaciones Económicas e Integración, Rigoberto Gauto, a quien presentó su proyecto.",www.facebook.com/221252151293397_1041336889284915,1027,54,18
Cronica,2016-05-28T22:30:00+0000,"Jardineros cayeron por hurto a un juez | Crónica Agentes de Robos y Hurtos de Investigación de Delitos de la capital detuvieron a dos fulanos sindicados como presuntos autores del hurto agravado sufrido por el juez de paz de Trinidad, Alejandro Alcides Peña, en su domicilio ubicado entre las calles Teniente Rolón y López de Vega, del barrio Bella Vista de la capital, ocurrido el 9 de abril en horas de la noche, donde los delincuentes se alzaron con una computadora portátil, dvd, plasma, celulares y otras pertenencias.",www.facebook.com/221252151293397_1041333932618544,210,11,2
Cronica,2016-05-28T22:25:00+0000,"Adultos mayores ovy’a con atención | Crónica Profesionales de la carrera de Tecnicatura Superior en Podología, de la Facultad de Medicina de Universidad Nacional de Asunción, fueron los encargados de dar esta atención a los adultos mayores, quienes se encontraban en el salón y estaban dispuestos a realizar la inspección podológica a los abuelitos del club.",www.facebook.com/221252151293397_1041336152618322,339,30,3
Cronica,2016-05-28T22:20:00+0000,“Tortoleros” irían adentro | Crónica La fiscala Luciana Ramos imputó a los presuntos “tortoleros” y requirió la prisión preventiva de Diego Germán González Vera y Juan Gabriel García Benítez.,www.facebook.com/221252151293397_1041332919285312,206,2,2
Cronica,2016-05-28T22:15:00+0000,"La tarifa para los estacionamientos | Crónica “Cuando alguien negocia se exponen todos los argumentos a favor y en contra y me parece que si hay una objeción legal para hacer el acuerdo se buscará otra fórmula”, empezó diciendo el intendente capitalino Mario Ferreiro, con relación al estacionamiento tarifado.",www.facebook.com/221252151293397_1041335472618390,71,0,1
Cronica,2016-05-28T22:10:00+0000,"Pillaron macoña en un camión cisterna | Crónica El ingenio de los agricultores y “empresarios” de la droga nunca deja de sorprender, más aún al momento de transporte o “acondicionamiento” del purete. Agentes de la Senad llegaron hasta un establecimiento rural ubicado a tan solo 100 metros de la línea “imaginaria” que divide a rapailandia de nuestra tierra guaraní, en la frontera seca en Salto del Guairá, departamento de Canindeyú.",www.facebook.com/221252151293397_1041331192618818,521,10,16
Cronica,2016-05-28T22:01:00+0000,"Encontraron muerto a un bebé | Crónica Un escalofriante hallazgo estremeció a la tranquila ciudad de Caazapá entre las calles Silvio Chamorro y Teniente Vera, del barrio San Antonio, cuando funcionarios municipales se encontraban realizando la rutinaria recolección de basuras.",www.facebook.com/221252151293397_1041330095952261,1485,87,60
Cronica,2016-05-28T19:50:00+0000,"Coche de la Essap entró por una casa | Crónica Un susto tremendo se llevó una familia del barrio San Juan Neuman, de Pedro Juan Caballero, departamento de Amambay, cuando un vehículo de la Essap al mando del funcionario Mario Burgos terminó incrustado por la muralla de la vivienda ubicada entre las calles Toledo y Carlos Domínguez, en las últimas horas del jueves.",www.facebook.com/221252151293397_1041249922626945,94,3,3
Cronica,2016-05-28T19:40:00+0000,Nuevos docentes estafados | Crónica El Sindicato Nacional de Directores informó ayer que se registraron nuevos casos de estafas a docentes. Se trata de 5 nuevas firmas que les jodieron la vida jeyma a unos cuantos docentes y otros funcionarios públicos.,www.facebook.com/221252151293397_1041245925960678,34,2,2
Cronica,2016-05-28T19:30:00+0000,"Temprano inician las relaciones sexuales | Crónica El Ministerio de Salud Pública y el Fondo de Población de las Naciones Unidas (UNFPA), presentaron en la mañana de ayer resultados del estudio sobre fecundidad y maternidad adolescente en el Cono Sur (Argentina, Brasil, Chile, Paraguay y Uruguay). Según los datos, Paraguay es el segundo país con mayor cantidad de embarazos adolescentes en la región, siendo Brasil el primero.",www.facebook.com/221252151293397_1041245359294068,244,12,18
Cronica,2016-05-28T19:20:00+0000,"Encuentran bacteria que resiste a cualquier tipo de antibióticos | Crónica De dónde salió, nadie sabe. Lo cierto es que “se detectó” por primera vez una bacteria resistente a todos los antibióticos en una mujer de 49 años de Pensilvania, que había acudido a una consulta médica con síntomas de una infección del tracto urinario.",www.facebook.com/221252151293397_1041244262627511,418,62,11
Cronica,2016-05-28T19:10:01+0000,"Desentierran cuerpo de niña fallecida hace 100 años... ¡intacto! | Crónica El 9 de mayo, cuando unos obreros estaban removiendo escombros en la casa de Ericka Karner se sorprendieron y asustaron por el hallazgo. De inmediato llamaron a la policía para que investigaran lo que habían desenterrado.",www.facebook.com/221252151293397_1041243812627556,2608,346,42
