Source,Date,Text,URL,Favorites,Retweets,Replies
La Nacion,2016-05-17 04:13:44,Quito y su noche en la mitad del mundo https://t.co/7pTZGpxCGQ https://t.co/ox5ZwlRrQP,http://www.twitter.com/LANACION/status/732423832561025024,43,21,0
La Nacion,2016-05-17 04:00:45,¿Con quién estaba Pampita Ardohain mientras Benjamín Vicuña disfrutaba de sus hijos? https://t.co/6ohcGHHGQr https://t.co/XMxaGInpvn,http://www.twitter.com/LANACION/status/732420565068353536,15,6,14
La Nacion,2016-05-17 03:57:45,"Elisa Carrió en Quilmes: ""Estoy empezando a enfrentarme a las grandes mafias de la ... https://t.co/h5rO6pJFmX https://t.co/kughzB2o8k",http://www.twitter.com/LANACION/status/732419812295639040,77,40,13
La Nacion,2016-05-17 03:44:42,Video: el baile de Norberto Oyarbide en el gremio de los taxistas https://t.co/NdgE6RwXAQ https://t.co/ZiFP2lyqcA,http://www.twitter.com/LANACION/status/732416528117866496,27,30,20
La Nacion,2016-05-17 03:41:43,Sancionaron a Leonardo Senatore por 10 semanas por morder a un jugador de los Sharks https://t.co/yC37e8pogV https://t.co/U7z9g5Y9ZH,http://www.twitter.com/LANACION/status/732415778742517760,7,11,2
La Nacion,2016-05-17 03:28:42,Cómo son los nuevos créditos hipotecarios del Banco Nación atados al nivel de ingreso https://t.co/dmCVf06dqu https://t.co/jCYp2waBO3,http://www.twitter.com/LANACION/status/732412503192444928,31,25,1
La Nacion,2016-05-17 03:15:43,"Estudiantes y un tributo a Bilardo, a 30 años del Mundial de México 86 https://t.co/setIbKCnOk https://t.co/fTTTzlmN96",http://www.twitter.com/LANACION/status/732409232251846657,60,43,0
La Nacion,2016-05-17 03:10:43,El desarrollismo del nuevo milenio https://t.co/p8niWULvZ4,http://www.twitter.com/LANACION/status/732407973675433984,17,5,0
La Nacion,2016-05-17 02:57:47,La mordió un tiburón en plena playa de Miami y no la soltó hasta que llegó al hospital https://t.co/a3zya0P3IT https://t.co/aVX49YDFgk,http://www.twitter.com/LANACION/status/732404718807461888,33,40,8
La Nacion,2016-05-17 02:44:42,"En dos horas, el Hot Sale superó las 500.000 visitas https://t.co/7qgTWSSICV https://t.co/2OJJffXRZp",http://www.twitter.com/LANACION/status/732401428501803009,20,12,4
La Nacion,2016-05-17 02:40:42,Víctor Hugo Morales arrancó en C5N con una editorial hiperkirchnerista https://t.co/AgGwqdApMp https://t.co/gUd12SPPau,http://www.twitter.com/LANACION/status/732400420916764676,40,16,19
La Nacion,2016-05-17 02:26:44,"Con McCartney, Córdoba se posiciona como otra capital del entretenimiento https://t.co/XDZsOfuCVg https://t.co/zv3NVweGhB",http://www.twitter.com/LANACION/status/732396905406300161,71,33,7
La Nacion,2016-05-17 02:14:43,San Lorenzo tiene que jugarse la clasificación para la final fuera de su cancha https://t.co/bFG6uldM4E https://t.co/7fk5V2L1sv,http://www.twitter.com/LANACION/status/732393881283760129,17,3,0
La Nacion,2016-05-17 02:01:43,"Paulo Dybala, entre el sueño de ""ser el mejor"", la comparación con Tevez y el DT que le ... https://t.co/PKNxM4vgu2 https://t.co/xQ3NZUbUDg",http://www.twitter.com/LANACION/status/732390611752488960,25,6,2
La Nacion,2016-05-17 01:56:43,Google enfrenta una posible multa récord de 3000 millones de euros https://t.co/6nJSUiqTDL https://t.co/Sp72s1MXBW,http://www.twitter.com/LANACION/status/732389350802083840,19,13,0
La Nacion,2016-05-17 01:43:42,"""No veo motivos para que se de una intervención; se suplirán los cargos"" https://t.co/5jOmo74og1 https://t.co/ijsCKe4Tjm",http://www.twitter.com/LANACION/status/732386078712168449,12,6,2
La Nacion,2016-05-17 01:29:49,Enterate cómo ganar mucho más que con un plazo fijo https://t.co/s0ZAg0OfxD https://t.co/MP1hEVbNqj,http://www.twitter.com/LANACION/status/732382583506472960,42,8,11
La Nacion,2016-05-17 01:17:42,Un camión chocó contra una garita en Costanera Sur: murió un vigilador https://t.co/DPk9BLf0Ce https://t.co/bepwleZ4ya,http://www.twitter.com/LANACION/status/732379533651918848,10,13,6
La Nacion,2016-05-17 01:04:43,Tres cosas que quizás no sabías de los Martín Fierro https://t.co/rQbNgonTDI https://t.co/H1bu1kxpfv,http://www.twitter.com/LANACION/status/732376266658185216,38,12,10
La Nacion,2016-05-17 00:51:34,Cómo Miami se convirtió en la capital de la clase media de América Latina https://t.co/LABEKvIdjg https://t.co/GxVoI65K8Q,http://www.twitter.com/LANACION/status/732372957465579520,27,31,2
La Nacion,2016-05-17 00:38:34,Martín Fierro 2016: Verónica Llinás criticó los chiflidos a Jorge Lanata y el discurso ... https://t.co/uzTVPuiRMM https://t.co/Xj8qFr4y92,http://www.twitter.com/LANACION/status/732369686269206528,68,19,4
La Nacion,2016-05-17 00:33:34,Anuncian facilidades para sacar la visa a Estados Unidos https://t.co/zeecjmDPts https://t.co/j4mvLX9o0o,http://www.twitter.com/LANACION/status/732368428783271936,79,67,10
La Nacion,2016-05-17 00:20:37,"José ""Pepe"" Scioli en LA NACION pm: ""El mejor proyecto de ley antidespidos es el de Massa"" https://t.co/krLZ4FRLcH https://t.co/cslEYOo5cd",http://www.twitter.com/LANACION/status/732365168643035136,18,10,12
La Nacion,2016-05-17 00:06:35,"Lázaro Báez pidió su libertad, la nulidad de su procesamiento y la devolución de sus bienes https://t.co/laHmgdPQGA https://t.co/bvuO17GSbx",http://www.twitter.com/LANACION/status/732361637718544384,50,39,20
La Nacion,2016-05-16 23:51:39,"Gerardo Morales sostuvo que Milagro Sala ""engañó"" al papa Francisco https://t.co/U8ZMlukozJ https://t.co/c3RXWeSDam",http://www.twitter.com/LANACION/status/732357877772472320,103,69,20
La Nacion,2016-05-16 23:38:36,Consejos para ganar más con los ahorros en dólares https://t.co/X6MtR7UR0h https://t.co/FlMsqu3MQd,http://www.twitter.com/LANACION/status/732354595264077824,59,18,7
La Nacion,2016-05-16 23:25:36,La feroz piña que comenzó una batalla campal en un partido de béisbol en Estados Unidos https://t.co/QqyZ5eX7cN https://t.co/n4uXYxv2Gy,http://www.twitter.com/LANACION/status/732351321886601216,16,8,1
La Nacion,2016-05-16 23:12:40,"Amigos, enemigos, amores: lo que no se vio en la ceremonia del Martín Fierro https://t.co/b2RfNOdTVR https://t.co/itEvAAERum",http://www.twitter.com/LANACION/status/732348068666966017,30,5,1
La Nacion,2016-05-16 22:58:36,"""Dani La Muerte"" fue operado por segunda vez y continúa en estado crítico https://t.co/ckkPY1L5WF https://t.co/2CxDqbyYJl",http://www.twitter.com/LANACION/status/732344527000899584,13,5,5
La Nacion,2016-05-16 22:45:36,Confirman que Lázaro Báez tiene 26 propiedades en Chubut https://t.co/L8jV6k3B7l https://t.co/NtzbJV1ok6,http://www.twitter.com/LANACION/status/732341257402499072,63,70,12
La Nacion,2016-05-16 22:32:36,".@MauricioMacri: ""El Plan Belgrano es una reparación histórica"" https://t.co/M1BgG1ye24 https://t.co/VgyzAb9XeO",http://www.twitter.com/LANACION/status/732337984754831361,106,49,13
La Nacion,2016-05-16 22:19:36,La Matanza: mataron a un policía en la puerta de su casa para robarle el auto https://t.co/xJdK4GLemM https://t.co/kUcg7Y4dBh,http://www.twitter.com/LANACION/status/732334714028236800,12,25,7
La Nacion,2016-05-16 22:05:35,"El cisma: Angelici, D'Onofrio y Lammens renunciaron al comité ejecutivo de la AFA para ... https://t.co/o5uWV8AjV9 https://t.co/Xiaws2TEVk",http://www.twitter.com/LANACION/status/732331187105042438,44,51,8
La Nacion,2016-05-16 21:50:36,"Javier Iguacel dijo el kirchnerismo armó ""una maquinaria para estafar a los argentinos"" https://t.co/K2stkkup4h https://t.co/aKJGCNGDih",http://www.twitter.com/LANACION/status/732327417197547520,67,63,13
La Nacion,2016-05-16 21:35:35,"Martín Fierro 2016: Luis Ventura, enojado con la filtración de la lista de ganadores https://t.co/f7NmKtm9lr https://t.co/noE3l0IK4n",http://www.twitter.com/LANACION/status/732323637236224000,22,17,14
La Nacion,2016-05-16 21:23:35,"Jorge Lanata le respondió a @DiegoBranca, que lo silbó cuando ganó el Martín Fierro https://t.co/NxjPgawl6m https://t.co/OLI3eAOtDI",http://www.twitter.com/LANACION/status/732320618327232512,104,64,17
La Nacion,2016-05-16 21:10:41,La ciudad más contaminada de América Latina no es la que te imaginás https://t.co/vs2QFwAWbY https://t.co/mAJxP9PoiM,http://www.twitter.com/LANACION/status/732317369759072256,15,21,2
La Nacion,2016-05-16 20:57:36,Lo mejor y lo peor de los Martín Fierro 2016 https://t.co/Z4TjaU5kqG https://t.co/5fBerAJYgW,http://www.twitter.com/LANACION/status/732314077326872576,47,19,7
La Nacion,2016-05-16 20:44:36,"Martín Fierro 2016: de Vicky Xipolitakis a Mercedes Ninci, los mejores memes https://t.co/YbY1Ew77uN https://t.co/eUggb1P32q",http://www.twitter.com/LANACION/status/732310807925665792,19,8,8
La Nacion,2016-05-16 20:30:44,Raquel Mancini tiene gripe A y está con respirador artificial https://t.co/Z3yzyq2QWc https://t.co/co9untLOk7,http://www.twitter.com/LANACION/status/732307314477273088,26,42,9
La Nacion,2016-05-16 20:17:36,Game of Thrones: a sangre y fuego https://t.co/4jNkrhih4h https://t.co/5MXkg2UfGe,http://www.twitter.com/LANACION/status/732304009244102656,25,14,1
La Nacion,2016-05-16 20:04:35,"Subte hot: en la calle, 15 grados; abajo, 32 https://t.co/pU7lxaiH4r https://t.co/jgRew2hwlN",http://www.twitter.com/LANACION/status/732300736768380929,16,16,4
La Nacion,2016-05-16 19:52:36,Michel Temer dijo que su esposa va a tener un cargo en su gobierno https://t.co/RsycwAJALn https://t.co/UtdMjBMvpC,http://www.twitter.com/LANACION/status/732297717968437248,15,21,18
La Nacion,2016-05-16 19:49:36,De Vido le facturó al Estado nacional la edición de un libro propio https://t.co/z5ViTzx8lk https://t.co/DOty6kKkBq,http://www.twitter.com/LANACION/status/732296963857784832,37,107,20
La Nacion,2016-05-16 19:46:35,Cócteles creativos: los ingredientes más insólitos de las barras porteñas https://t.co/R2lcIWForW https://t.co/8FlT9zhilJ,http://www.twitter.com/LANACION/status/732296206303559681,22,13,0
La Nacion,2016-05-16 19:33:35,Sinéad O'Connor está desaparecida desde ayer en los Estados Unidos https://t.co/hS5dPeFahE https://t.co/Uux7eSyJR6,http://www.twitter.com/LANACION/status/732292934649974784,19,17,12
La Nacion,2016-05-16 19:20:41,¿Qué podemos aprender de las madres finlandesas? https://t.co/gOOBDnnJgK https://t.co/f7NLWgYB97,http://www.twitter.com/LANACION/status/732289689240113152,28,14,3
La Nacion,2016-05-16 19:12:38,.@LANACION informa que está sufriendo problemas técnicos que afectan la performance del sitio. Estamos trabajando para solucionarlos.,http://www.twitter.com/LANACION/status/732287661617106944,47,22,4
La Nacion,2016-05-16 19:07:37,"Hot Sale 2016: hoy y mañana, dos días con descuentos https://t.co/qT3dJ78Tz8 https://t.co/uZ4atDnAzt",http://www.twitter.com/LANACION/status/732286399421009924,6,3,4
La Nacion,2016-05-16 19:04:37,"Triaca: ""Vamos a defender los derechos de los trabajadores"" https://t.co/SF5LS6H0vX https://t.co/PTup1RpsoD",http://www.twitter.com/LANACION/status/732285644781813760,51,17,12
La Nacion,2016-05-16 18:51:50,"Trump recrudece su discurso: ""Los refugiados van a provocar otro 11 de septiembre en EE.UU."" https://t.co/y1AKzFOEDA https://t.co/ceaY2RxAQP",http://www.twitter.com/LANACION/status/732282428438511626,7,16,3
La Nacion,2016-05-16 18:38:35,Natalia Oreiro perdió un costoso anillo con una esmeralda #MF2016 https://t.co/4GJ7pJztKP https://t.co/lIRSIgG274,http://www.twitter.com/LANACION/status/732279093115424770,24,10,20
La Nacion,2016-05-16 18:33:35,Natalia Oreiro perdió un costoso anillo con una esmeralda #MF2016 https://t.co/4GJ7pJztKP https://t.co/iVj4flSB4v,http://www.twitter.com/LANACION/status/732277835205881856,28,23,9
La Nacion,2016-05-16 18:29:36,"Boca rescindió el contrato con Osvaldo, que donará parte de su sueldo a las inferiores https://t.co/O0uEwUfSvX https://t.co/Mi4s1PG0d2",http://www.twitter.com/LANACION/status/732276830800084994,26,16,10
La Nacion,2016-05-16 18:26:50,Siete muertos por un voraz incendio en un hogar de ancianos en Montevideo https://t.co/mVy8UUgqrs https://t.co/HflJuAuVTR,http://www.twitter.com/LANACION/status/732276136479227906,10,9,2
La Nacion,2016-05-16 18:13:36,"Lunes, helado: ¿cómo sigue el tiempo? https://t.co/ymNMhAX3rZ https://t.co/nVgU2WavC8",http://www.twitter.com/LANACION/status/732272804654137344,9,6,2
La Nacion,2016-05-16 18:00:37,Inteligencia artificial. La inevitable (e inquietante) relación con los robots https://t.co/7gOI1yBSa9 https://t.co/o9AZSN6aGD,http://www.twitter.com/LANACION/status/732269538474086401,20,19,3
La Nacion,2016-05-16 17:48:35,"Guillermo Barros Schelotto: ""El tema Osvaldo se terminó"" https://t.co/d9YR7320vY https://t.co/B2YaxagLtx",http://www.twitter.com/LANACION/status/732266510991937539,19,7,1
La Nacion,2016-05-16 17:35:36,Votá los mejores y peores looks del #MF16 https://t.co/gbI7HivnDU https://t.co/IXBsSnejL9,http://www.twitter.com/LANACION/status/732263242433728512,23,2,2
La Nacion,2016-05-16 17:21:34,Martín Fierro 2016: 5 situaciones que nos crearon intriga https://t.co/6Czk8WDYdW https://t.co/h4oQDwsb9v,http://www.twitter.com/LANACION/status/732259712859832321,16,3,1
La Nacion,2016-05-16 17:14:35,¿Por qué el país que crece más rápido no logra sacar a su población de la pobreza? https://t.co/JHgDn2PIsq https://t.co/Y3Lx6NbTtK,http://www.twitter.com/LANACION/status/732257952711753728,21,15,3
La Nacion,2016-05-16 17:01:35,Qué alimentos fortalecen las defensas https://t.co/8uDqGVbPZw https://t.co/5eeq4vpLkk,http://www.twitter.com/LANACION/status/732254681716625408,46,30,0
La Nacion,2016-05-16 17:00:35,Las respuestas a las consultas más frecuentes sobre la actualización gratis a Windows 10 https://t.co/oJRZVozhTg https://t.co/4v4JrWawjm,http://www.twitter.com/LANACION/status/732254429932617728,13,13,1
La Nacion,2016-05-16 16:42:35,"Das Neves: ""No aceptamos ningún tipo de chantaje, ni de este presidente ni de ninguno"" https://t.co/yJlZ1UxlLS https://t.co/P3NrKN5yxX",http://www.twitter.com/LANACION/status/732249899165683712,24,13,18
