source,created_time,text,url,likes,shares,comments
5 dias,2016-05-16T12:36:56+0000,"Morosidad en el agro se duplicó en un año - Diario 5dias Morosidad en el agro se duplicó en un año http://www.5dias.com.py/46471-morosidad-en-el-agro-se-duplico-en-un-anoLa morosidad del sistema bancario ha venido en un constante crecimiento en el último par de meses, el cual es debido a un lento arranque del año, una coyuntura regional un tanto entorpecida y la caída de los precios de los commodities.",www.facebook.com/182736288436188_1105774766132331,0,3,0
5 dias,2016-05-16T12:29:26+0000,Baja en las ventas no es estacional y sí señal de bajón - Diario 5diasLas ventas en el mercado del rubro automotriz ca­yeron aproximadamente un 20% en comparación al pasado año.,www.facebook.com/182736288436188_1105772042799270,17,13,0
5 dias,2016-05-16T12:09:57+0000,"Posiciones divergentes sobre ingreso de Bolivia - Diario 5diasA raíz de la aprobación del ingreso de Bolivia al Mercosur (Mercado Común del Sur) por parte de la Cámara de Diputados, en su sesión de este jueves último, el diario 5días conversó con analistas para conocer sus opiniones al respecto.",www.facebook.com/182736288436188_1105763226133485,4,0,0
5 dias,2016-05-16T02:16:13+0000,Timeline Photos Así abre @5diaspy Lunes 16 de Mayo #Paraguay #MejorParaTodos,www.facebook.com/182736288436188_1105526262823848,17,3,0
5 dias,2016-05-13T16:32:15+0000,Liderazgo con inteligencia emocionalEl desarrollo del liderazgo emocional es fundamental para desplegar el liderazgo en una empresa. Los exitos de los grandes empresarios se encuentran en fomentar el buen trato a las personas. Algunos de los temas a tocar en la conferencia: El líder ¿nace o se hace? ¿Cómo desarrollamos el genio que tenemos dentro? Pasos claves para convertirte en un líder emocional.,www.facebook.com/182736288436188_955377281250680,9,0,4
5 dias,2016-05-13T15:38:23+0000,"Monalisa llega a Asunción con las marcas más sofisticadas del mundo - Diario 5dias http://www.5dias.com.py/46458-monalisa-llega-a-asuncion-con-las-marcas-mas-sofisticadas-del-mundoEl Diario con la mejor información económica, para lectores influyentes #Paraguay",www.facebook.com/182736288436188_1104088939634247,10,2,0
5 dias,2016-05-13T15:01:38+0000,"Deporte, bienestar y salud, el combo para un buen negocio - Diario 5diasND Wellness Center es un complejo orientado a personas que desean lle­var una vida en equilibrio, combinando el deporte, el bienestar y la salud.",www.facebook.com/182736288436188_1104072882969186,6,6,0
5 dias,2016-05-13T13:39:02+0000,Taller 5días: liderazgo e inteligencia emocional - Diario 5dias http://www.5dias.com.py/46464-taller-5dias-liderazgo-e-inteligencia-emocional¿De qué forma genera­mos las habilidades de la inteligencia emocional?,www.facebook.com/182736288436188_1104030626306745,7,3,0
5 dias,2016-05-13T13:36:14+0000,Bares del centro plantean interesantes actividades - Diario 5dias http://www.5dias.com.py/46465-bares-del-centro-plantean-interesantes-actividadesAmcha plantea varias actividades para revitalizar el Centro Histórico de Asunción.,www.facebook.com/182736288436188_1104028759640265,949,30,6
5 dias,2016-05-13T13:35:28+0000,"El MIC descartó más de 600 normativas - Diario 5dias http://www.5dias.com.py/46467-el-mic-descarto-mas-de-600-normativasAyer se realizó el lanza­miento del informe final de histórico proyecto que reduce normas jurídi­cas para el Ministerio de Industria y Comercio, el acto se llevó a cabo en el teatro del Hotel Guaraní y se contó con la presen­cia del presidente de la República, Horacio Car­tes; José Antonio Moreno Ro...",www.facebook.com/182736288436188_1104028292973645,0,1,0
