source,created_time,text,url,likes,shares,comments
Extra,2016-05-15T15:45:01+0000,Un “Tiburón” hambriento de título ante la fe del “Míster” Libertad puede gritar campeón esta tarde; la “O” pretende alargar la pulseada. ¿Para quién será el título?,www.facebook.com/303614086512550_490339017840055,53,3,5
Extra,2016-05-15T15:19:26+0000,Mamá donó a su hija un riñón y trabaja para su tratamiento No hay obstáculo que pueda impedir a una madre ayudar a su hijo. Te contamos la historia de doña Juan y su hija Dolly.,www.facebook.com/303614086512550_490338537840103,50,3,0
Extra,2016-05-15T12:00:13+0000,Timeline Photos Buenos días! Compartimos con ustedes la portada de este domingo.  Excelente jornada para todos.,www.facebook.com/303614086512550_490179377856019,48,2,3
Extra,2016-05-14T18:40:00+0000,"Ofrecen 24 puestos para médicos en Ministerio de Salud El IPS, Ministerio de Salud y servicios del Sanatorio Migone buscan nuevos profesionales. Las postulaciones van desde el 19 al 25 de mayo.",www.facebook.com/303614086512550_490015937872363,77,82,6
Extra,2016-05-14T18:20:00+0000,"Cambiaron la farándula por una vida tranquila Son varios los rostros que alguna vez pasaron por los medios y hoy día ya no están o en contrapartida, antes se los veía en un ambiente y hoy están en otros. Te presentamos algunos de ellos.",www.facebook.com/303614086512550_490015611205729,98,9,2
Extra,2016-05-14T18:00:00+0000,"Viernes 13 cargado de sorpresas para Tonny La lesión de Roque Santa Cruz le abre las puertas a joven delantero guaraní que se destacó en España.El delantero del Gijón fue convocado de urgencia a la Selección Nacional, tras la nueva lesión de Roque Santa Cruz. El delantero del Sporting de Gijón de España, Antonio Sanabria,  fue convocado de urgencia por la Selección Paraguaya, por la baja de Roque Santa Cruz, quien se lesionó en una de las p...",www.facebook.com/303614086512550_490012961205994,55,1,7
Extra,2016-05-14T17:35:00+0000,Mamá usó un curioso accesorio para que su hijo no se pierda Una fotografía que circuló rápidamente en las redes sociales causó polémica y mucha confusión. Ocurrió en Santa Rita.,www.facebook.com/303614086512550_490012754539348,153,58,73
Extra,2016-05-14T17:15:00+0000,Corrió en el canal por temor a las vacunas Natu González le tiene fobia a las inyecciones. Y fue por esta razón que tuvo que huir.,www.facebook.com/303614086512550_490012497872707,7,0,7
Extra,2016-05-14T16:50:00+0000,"El “Rey” alista las armas para mantener la ilusión El plantel franjeado intensifica los trabajos de cara al duelo trascendental ante Rubio Ñu, en el estadio Defensores del Chaco.",www.facebook.com/303614086512550_490012241206066,50,1,13
Extra,2016-05-14T16:30:00+0000,"Hieren a un policía que abortó asalto a banco Sujetos desconocidos habrían intentado robar un banco, pero la Policía lo impidió. Los sospechosos intercambiaron disparos con agentes.",www.facebook.com/303614086512550_490011704539453,17,1,0
